Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Sat_Rate,Avg_Angle,Loss_Critic,Loss_Actor,Entropy
840,132.6956,104.0721,0.0000,12,0.1500,1.0000,0.9773,-0.3252,0.000000,0.000000,0.000000
850,131.1153,105.8668,0.0000,13,0.1140,1.0000,1.0000,0.1453,122.470825,0.005593,0.064711
860,136.6023,106.2580,0.0000,23,0.3594,1.0000,0.9941,0.1890,0.000000,0.000000,0.000000
870,134.3120,106.4105,0.0000,13,0.1161,1.0000,1.0000,-0.0867,0.000000,0.000000,0.000000
880,135.3160,106.6506,0.0000,18,0.1500,1.0000,0.9950,0.0509,0.000000,0.000000,0.000000
890,132.8938,105.9519,0.0000,15,0.1240,1.0000,1.0000,0.0431,0.000000,0.000000,0.000000
900,131.6378,106.0892,0.0000,15,0.1974,1.0000,1.0000,0.1978,0.000000,0.000000,0.000000
910,125.5325,106.2812,0.0000,13,0.1074,1.0000,1.0000,0.0170,0.000000,0.000000,0.000000
920,125.5027,105.4377,0.0000,12,0.0984,1.0000,1.0000,-0.1212,0.000000,0.000000,0.000000
930,123.3826,105.3370,0.0000,13,0.1238,1.0000,0.9875,0.1558,0.000000,0.000000,0.000000
940,127.3723,106.5156,0.0000,15,0.1163,1.0000,1.0000,0.0972,0.000000,0.000000,0.000000
950,126.9463,106.2337,0.0000,15,0.1172,1.0000,0.9952,0.2554,0.000000,0.000000,0.000000
960,125.4071,105.2616,0.0000,12,0.1130,0.9231,1.0000,-0.1160,0.000000,0.000000,0.000000
970,126.4101,103.2883,0.0000,22,0.2222,1.0000,1.0000,0.2769,0.000000,0.000000,0.000000
980,126.2644,101.5725,0.0000,24,0.2308,1.0000,1.0000,-0.0197,0.000000,0.000000,0.000000
990,128.9845,100.1382,0.0000,17,0.2368,0.9444,0.9894,0.0775,0.000000,0.000000,0.000000
1000,131.1094,99.8576,0.0000,11,0.0873,1.0000,1.0000,0.0632,0.000000,0.000000,0.000000
1010,133.9984,101.3013,0.0000,18,0.1552,1.0000,1.0000,-0.0346,0.000000,0.000000,0.000000
1020,135.0756,104.7507,0.0000,15,0.1829,1.0000,1.0000,-0.2210,0.000000,0.000000,0.000000
1030,133.7139,108.1910,0.0000,9,0.0720,1.0000,0.9882,-0.4686,0.000000,0.000000,0.000000
1040,126.4988,109.4549,0.0000,16,0.1702,1.0000,1.0000,-0.0582,0.000000,0.000000,0.000000
1050,126.5414,110.2179,0.0000,17,0.1360,1.0000,0.9850,0.2041,0.000000,0.000000,0.000000
1060,130.2201,111.2822,0.0000,18,0.1698,1.0000,1.0000,-0.0423,0.000000,0.000000,0.000000
1070,132.2613,111.8185,0.0000,12,0.0960,1.0000,1.0000,0.1108,0.000000,0.000000,0.000000
1080,133.4102,112.5648,0.0000,16,0.1441,1.0000,0.9864,0.0331,0.000000,0.000000,0.000000
1090,134.5333,114.3569,0.0000,11,0.1000,1.0000,1.0000,0.1301,0.000000,0.000000,0.000000
1100,134.6991,114.4913,0.0000,10,0.0847,1.0000,0.9909,0.3194,0.000000,0.000000,0.000000
1110,134.3254,114.2910,0.0000,19,0.1810,1.0000,1.0000,-0.2277,0.000000,0.000000,0.000000
1120,134.8125,114.3345,0.0000,16,0.1481,1.0000,1.0000,-0.1523,153.679362,0.001709,0.029713
1130,135.0579,114.6543,0.0000,15,0.1111,1.0000,1.0000,-0.0171,136.319153,0.000088,0.027158
1140,131.1782,113.6796,0.0000,10,0.1031,1.0000,1.0000,0.0155,99.936482,-0.001152,0.022165
